pool_size,actual_pool_size,repeat,tasks,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,n
500,500,14,87,0.7471264367816092,0.9080459770114943,0.9310344827586207,0.9425287356321839,0.6463875205254516,0.7376026272577997,0.7843732895457033,0.8250319284802043,0.736418630245004,87
500,500,15,87,0.7701149425287356,0.9080459770114943,0.9195402298850575,0.9540229885057471,0.6556923918992884,0.7132731253420909,0.7929939792008758,0.837210363072432,0.743981267285892,87
500,500,16,87,0.8045977011494253,0.9080459770114943,0.9310344827586207,0.9540229885057471,0.6467706622879037,0.7105911330049262,0.784263820470717,0.8593869731800766,0.754903295142251,87
500,500,17,87,0.7816091954022989,0.9080459770114943,0.9195402298850575,0.9540229885057471,0.653968253968254,0.7331143951833607,0.7929939792008758,0.8497263273125342,0.7582043617796052,87
500,500,18,87,0.7931034482758621,0.8850574712643678,0.9195402298850575,0.9425287356321839,0.6368089764641489,0.7087575259989053,0.7849480021893815,0.85,0.7490436319506432,87
500,500,19,87,0.7586206896551724,0.896551724137931,0.9195402298850575,0.9425287356321839,0.6530925013683634,0.7171866447728517,0.7846469622331691,0.831143951833607,0.7421831579362339,87
1000,1000,0,87,0.735632183908046,0.8620689655172413,0.896551724137931,0.9310344827586207,0.6058839627805145,0.681472359058566,0.7508210180623973,0.805779054916986,0.7025980777175308,87
1000,1000,1,87,0.7241379310344828,0.8505747126436781,0.896551724137931,0.9310344827586207,0.5967706622879037,0.6893267651888342,0.7481390257252326,0.7919859514687101,0.6985903782357507,87
1000,1000,2,87,0.7241379310344828,0.8390804597701149,0.9080459770114943,0.9310344827586207,0.5977285166940339,0.686535303776683,0.7436507936507937,0.7930213464696223,0.6939766979681626,87
1000,1000,3,87,0.7471264367816092,0.8735632183908046,0.896551724137931,0.9310344827586207,0.6111384783798577,0.6764641488779419,0.7502463054187192,0.8097701149425287,0.7041269473620931,87
1000,1000,4,87,0.7471264367816092,0.8735632183908046,0.9195402298850575,0.9310344827586207,0.6253147235905857,0.706759715380405,0.7546798029556651,0.8114121510673235,0.7144454398335854,87
1000,1000,5,87,0.735632183908046,0.8505747126436781,0.9195402298850575,0.9425287356321839,0.6126710454296661,0.7064586754241927,0.7538861521620143,0.8088578726509761,0.7116614328602324,87
1000,1000,6,87,0.7241379310344828,0.8735632183908046,0.896551724137931,0.9310344827586207,0.6152709359605911,0.6885604816639299,0.7556376573617953,0.8032567049808429,0.7113180886036098,87
1000,1000,7,87,0.7126436781609196,0.8620689655172413,0.896551724137931,0.9310344827586207,0.6168856048166393,0.6847290640394088,0.7448823207443898,0.7913929939792008,0.698705200031171,87
1000,1000,8,87,0.7586206896551724,0.8505747126436781,0.8850574712643678,0.9310344827586207,0.6117131910235358,0.665079365079365,0.7558018609742748,0.8108191935778143,0.7120920726243842,87
1000,1000,9,87,0.6896551724137931,0.8390804597701149,0.9080459770114943,0.9425287356321839,0.5917077175697866,0.6927750410509032,0.7516967706622879,0.7779054916985951,0.690890465972111,87
1000,1000,10,87,0.7701149425287356,0.8390804597701149,0.896551724137931,0.9310344827586207,0.6019430760810071,0.686535303776683,0.7538040503557745,0.8129447181171319,0.7133294520527915,87
1000,1000,11,87,0.7241379310344828,0.8850574712643678,0.9195402298850575,0.9310344827586207,0.623015873015873,0.7025451559934318,0.7596332785987958,0.8012771392081737,0.7036212690548644,87
1000,1000,12,87,0.7241379310344828,0.8620689655172413,0.896551724137931,0.9195402298850575,0.6143951833607006,0.6851943076081007,0.7504378762999453,0.7934865900383141,0.6959364020921901,87
1000,1000,13,87,0.7241379310344828,0.8850574712643678,0.8850574712643678,0.9425287356321839,0.6149698960043788,0.6711001642036125,0.7483305966064586,0.7970580186097428,0.7007954193174172,87
1000,1000,14,87,0.7241379310344828,0.8850574712643678,0.896551724137931,0.9310344827586207,0.6090311986863711,0.6692939244663383,0.7538861521620143,0.8003968253968254,0.6992627326806753,87
1000,1000,15,87,0.735632183908046,0.8850574712643678,0.9195402298850575,0.9310344827586207,0.6378762999452655,0.6914340448823207,0.7451833607006021,0.8142857142857143,0.708027618138347,87
1000,1000,16,87,0.7126436781609196,0.8620689655172413,0.8850574712643678,0.9425287356321839,0.6029009304871373,0.6655719759168035,0.7571702244116038,0.7958949096880131,0.6988876344903868,87
1000,1000,17,87,0.7241379310344828,0.8620689655172413,0.9195402298850575,0.9540229885057471,0.6197591680350301,0.6972632731253421,0.7647235905856595,0.8021392081736909,0.7122267447909228,87
1000,1000,18,87,0.6896551724137931,0.8505747126436781,0.896551724137931,0.9310344827586207,0.5990695128626163,0.6768472906403941,0.7519704433497537,0.780122240467068,0.6886691646101658,87
1000,1000,19,87,0.7816091954022989,0.8735632183908046,0.896551724137931,0.9310344827586207,0.6105637657361795,0.689792008757526,0.7420087575259989,0.8322112753147236,0.7163518397029126,87
5000,5000,0,87,0.6206896551724138,0.7241379310344828,0.7931034482758621,0.8735632183908046,0.4904488232074439,0.5484126984126985,0.6533935413245758,0.6930350301039956,0.5890358862599192,87
5000,5000,1,87,0.6091954022988506,0.7471264367816092,0.7816091954022989,0.8620689655172413,0.5029009304871374,0.5617131910235359,0.6499452654625069,0.6914249224594052,0.5832998376902563,87
5000,5000,2,87,0.5632183908045977,0.735632183908046,0.7816091954022989,0.8275862068965517,0.4885331143951834,0.5651614668856049,0.6407498631636562,0.6596059113300493,0.5672705566584751,87
5000,5000,3,87,0.5977011494252874,0.7011494252873564,0.7816091954022989,0.8505747126436781,0.4655446086480569,0.5529009304871374,0.65415982484948,0.6742337164750958,0.5720659394789025,87
5000,5000,4,87,0.6551724137931034,0.7241379310344828,0.7931034482758621,0.8505747126436781,0.4760810071154899,0.5617131910235359,0.6426655719759168,0.7095420543696406,0.5883225456549656,87
5000,5000,5,87,0.5977011494252874,0.7126436781609196,0.7586206896551724,0.8735632183908046,0.46516146688560484,0.5291461412151067,0.6545429666119321,0.6783661740558292,0.571014979862599,87
5000,5000,6,87,0.5747126436781609,0.7471264367816092,0.7816091954022989,0.8505747126436781,0.5048166392993979,0.5618226600985221,0.6392172961138478,0.6671729611384783,0.5749571037369816,87
5000,5000,7,87,0.6091954022988506,0.7011494252873564,0.7471264367816092,0.8735632183908046,0.4594143404488232,0.5483032293377121,0.6602900930487138,0.6805190658638934,0.5828400505298661,87
5000,5000,8,87,0.5862068965517241,0.735632183908046,0.7701149425287356,0.8620689655172413,0.4810618500273673,0.5406403940886699,0.6532019704433497,0.6706531654807517,0.57623392400443,87
